Strategy report
Symbol: /ES:XCME
Work Time: 11/11/20, 7:30 AM - 7/29/21, 1:30 PM


Id;Strategy;Side;Quantity;Amount;Price;Date/Time;Trade P/L;P/L;Position;
2455;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,691.00;12/18/20, 10:40 AM;$150.00;$301,475.00;-50.0;
2456;shared_kg_EveryTickOHLC(OHLC|3,689.25|3,692|3,688|3,692);Buy to Open;1;50.0;$3,688.00;12/18/20, 10:40 AM;;$301,675.00;0.0;
2457;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,692.00;12/18/20, 10:50 AM;$200.00;$301,662.50;-50.0;
2458;shared_kg_EveryTickOHLC(OHLC|3,692|3,694.25|3,691.75|3,692.25);Buy to Open;1;50.0;$3,688.00;12/18/20, 10:50 AM;;$301,875.00;0.0;
2459;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,694.25;12/18/20, 11:00 AM;$125.00;$301,925.00;-50.0;
2460;shared_kg_EveryTickOHLC(OHLC|3,692.25|3,695|3,691|3,693.25);Buy to Open;1;50.0;$3,691.75;12/18/20, 11:00 AM;;$302,000.00;0.0;
2461;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,695.00;12/18/20, 11:10 AM;$200.00;$301,887.50;-50.0;
2462;shared_kg_EveryTickOHLC(OHLC|3,693.5|3,698.75|3,692.25|3,697.25);Buy to Open;1;50.0;$3,691.00;12/18/20, 11:10 AM;;$302,200.00;0.0;
2463;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,698.75;12/18/20, 11:20 AM;$325.00;$302,275.00;-50.0;
2464;shared_kg_EveryTickOHLC(OHLC|3,697.25|3,697.5|3,695.75|3,697.25);Buy to Open;1;50.0;$3,692.25;12/18/20, 11:20 AM;;$302,525.00;0.0;
2465;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,697.50;12/18/20, 11:30 AM;$87.50;$302,312.50;-50.0;
2466;shared_kg_EveryTickOHLC(OHLC|3,697.5|3,701.75|3,695.5|3,701.75);Buy to Open;1;50.0;$3,695.75;12/18/20, 11:30 AM;;$302,612.50;0.0;
2467;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,701.75;12/18/20, 11:40 AM;$312.50;$302,812.50;-50.0;
2468;shared_kg_EveryTickOHLC(OHLC|3,701.75|3,702.5|3,697.5|3,697.75);Buy to Open;1;50.0;$3,695.50;12/18/20, 11:40 AM;;$302,925.00;0.0;
2469;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,702.50;12/18/20, 11:50 AM;$250.00;$303,262.50;-50.0;
2470;shared_kg_EveryTickOHLC(OHLC|3,698|3,698.75|3,694.75|3,695.75);Buy to Open;1;50.0;$3,697.50;12/18/20, 11:50 AM;;$303,175.00;0.0;
2471;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,698.75;12/18/20, 12:00 PM;$200.00;$303,412.50;-50.0;
2472;shared_kg_EveryTickOHLC(OHLC|3,695.75|3,696.25|3,692.75|3,694);Buy to Open;1;50.0;$3,694.75;12/18/20, 12:00 PM;;$303,375.00;0.0;
2473;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,696.25;12/18/20, 12:10 PM;$175.00;$303,525.00;-50.0;
2474;shared_kg_EveryTickOHLC(OHLC|3,694|3,695.25|3,692.5|3,693.25);Buy to Open;1;50.0;$3,692.75;12/18/20, 12:10 PM;;$303,550.00;0.0;
2475;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,695.25;12/18/20, 12:20 PM;$137.50;$303,687.50;-50.0;
2476;shared_kg_EveryTickOHLC(OHLC|3,693.25|3,693.25|3,689.25|3,692.5);Buy to Open;1;50.0;$3,692.50;12/18/20, 12:20 PM;;$303,687.50;0.0;
2477;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,693.25;12/18/20, 12:30 PM;$200.00;$304,025.00;-50.0;
2478;shared_kg_EveryTickOHLC(OHLC|3,692.5|3,692.75|3,686.25|3,686.5);Buy to Open;1;50.0;$3,689.25;12/18/20, 12:30 PM;;$303,887.50;0.0;
2479;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,692.75;12/18/20, 12:40 PM;$325.00;$304,087.50;-50.0;
2480;shared_kg_EveryTickOHLC(OHLC|3,686.5|3,690.5|3,686.25|3,688.75);Buy to Open;1;50.0;$3,686.25;12/18/20, 12:40 PM;;$304,212.50;0.0;
2481;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.50;12/18/20, 12:50 PM;$212.50;$304,237.50;-50.0;
2482;shared_kg_EveryTickOHLC(OHLC|3,688.75|3,690.25|3,687.75|3,690);Buy to Open;1;50.0;$3,686.25;12/18/20, 12:50 PM;;$304,425.00;0.0;
2483;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.25;12/18/20, 1:00 PM;$125.00;$304,612.50;-50.0;
2484;shared_kg_EveryTickOHLC(OHLC|3,690.25|3,690.25|3,683.5|3,686.5);Buy to Open;1;50.0;$3,687.75;12/18/20, 1:00 PM;;$304,550.00;0.0;
2485;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.25;12/18/20, 1:10 PM;$337.50;$304,812.50;-50.0;
2486;shared_kg_EveryTickOHLC(OHLC|3,686.75|3,687|3,682.25|3,685);Buy to Open;1;50.0;$3,683.50;12/18/20, 1:10 PM;;$304,887.50;0.0;
2487;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,687.00;12/18/20, 1:20 PM;$237.50;$304,975.00;-50.0;
2488;shared_kg_EveryTickOHLC(OHLC|3,685|3,687.5|3,683.75|3,685.25);Buy to Open;1;50.0;$3,682.25;12/18/20, 1:20 PM;;$305,125.00;0.0;
2489;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,687.50;12/18/20, 1:30 PM;$187.50;$305,100.00;-50.0;
2490;shared_kg_EveryTickOHLC(OHLC|3,685.5|3,688.75|3,684.75|3,688);Buy to Open;1;50.0;$3,683.75;12/18/20, 1:30 PM;;$305,312.50;0.0;
2491;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,688.75;12/18/20, 1:40 PM;$200.00;$305,387.50;-50.0;
2492;shared_kg_EveryTickOHLC(OHLC|3,688|3,688.75|3,684.75|3,687.25);Buy to Open;1;50.0;$3,684.75;12/18/20, 1:40 PM;;$305,512.50;0.0;
2493;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,688.75;12/18/20, 1:50 PM;$200.00;$305,825.00;-50.0;
2494;shared_kg_EveryTickOHLC(OHLC|3,687.25|3,687.25|3,679.25|3,682.5);Buy to Open;1;50.0;$3,684.75;12/18/20, 1:50 PM;;$305,712.50;0.0;
2495;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,687.25;12/18/20, 2:00 PM;$400.00;$305,887.50;-50.0;
2496;shared_kg_EveryTickOHLC(OHLC|3,682.5|3,686.25|3,680.25|3,683.75);Buy to Open;1;50.0;$3,679.25;12/18/20, 2:00 PM;;$306,112.50;0.0;
2497;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,686.25;12/18/20, 2:10 PM;$300.00;$306,262.50;-50.0;
2498;shared_kg_EveryTickOHLC(OHLC|3,683.75|3,686.25|3,680.5|3,683.25);Buy to Open;1;50.0;$3,680.25;12/18/20, 2:10 PM;;$306,412.50;0.0;
2499;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,686.25;12/18/20, 2:20 PM;$287.50;$306,737.50;-50.0;
2500;shared_kg_EveryTickOHLC(OHLC|3,683.5|3,684|3,677.25|3,679.75);Buy to Open;1;50.0;$3,680.50;12/18/20, 2:20 PM;;$306,700.00;0.0;
2501;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,684.00;12/18/20, 2:30 PM;$337.50;$306,875.00;-50.0;
2502;shared_kg_EveryTickOHLC(OHLC|3,680|3,684.25|3,679|3,680.5);Buy to Open;1;50.0;$3,677.25;12/18/20, 2:30 PM;;$307,037.50;0.0;
2503;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,684.25;12/18/20, 2:40 PM;$262.50;$306,587.50;-50.0;
2504;shared_kg_EveryTickOHLC(OHLC|3,680.5|3,695.5|3,678|3,693.25);Buy to Open;1;50.0;$3,679.00;12/18/20, 2:40 PM;;$307,300.00;0.0;
2505;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,695.50;12/18/20, 2:50 PM;$875.00;$307,062.50;-50.0;
2506;shared_kg_EveryTickOHLC(OHLC|3,693.25|3,712.25|3,689.5|3,700.25);Buy to Open;1;50.0;$3,678.00;12/18/20, 2:50 PM;;$308,175.00;0.0;
2507;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,712.25;12/18/20, 3:00 PM;$1,137.50;$308,450.00;-50.0;
2508;shared_kg_EveryTickOHLC(OHLC|3,700|3,711.25|3,698.75|3,706.75);Buy to Open;1;50.0;$3,689.50;12/18/20, 3:00 PM;;$309,312.50;0.0;
2509;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,642.75;12/21/20, 7:30 AM;$550.00;$309,087.50;-50.0;
2510;shared_kg_EveryTickOHLC(OHLC|3,641.25|3,651|3,638.5|3,647.25);Buy to Open;1;50.0;$3,631.75;12/21/20, 7:30 AM;;$309,862.50;0.0;
2511;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,651.00;12/21/20, 7:40 AM;$625.00;$310,050.00;-50.0;
2512;shared_kg_EveryTickOHLC(OHLC|3,647.25|3,649.75|3,645.25|3,647.25);Buy to Open;1;50.0;$3,638.50;12/21/20, 7:40 AM;;$310,487.50;0.0;
2513;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,649.75;12/21/20, 7:50 AM;$225.00;$310,550.00;-50.0;
2514;shared_kg_EveryTickOHLC(OHLC|3,647.5|3,649.5|3,643.5|3,648.5);Buy to Open;1;50.0;$3,645.25;12/21/20, 7:50 AM;;$310,712.50;0.0;
2515;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,649.50;12/21/20, 8:00 AM;$300.00;$310,675.00;-50.0;
2516;shared_kg_EveryTickOHLC(OHLC|3,648.75|3,650.75|3,645.25|3,650.25);Buy to Open;1;50.0;$3,643.50;12/21/20, 8:00 AM;;$311,012.50;0.0;
2517;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,650.75;12/21/20, 8:10 AM;$275.00;$310,862.50;-50.0;
2518;shared_kg_EveryTickOHLC(OHLC|3,650.25|3,655.75|3,648.75|3,653.75);Buy to Open;1;50.0;$3,645.25;12/21/20, 8:10 AM;;$311,287.50;0.0;
2519;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,655.75;12/21/20, 8:20 AM;$350.00;$311,287.50;-50.0;
2520;shared_kg_EveryTickOHLC(OHLC|3,654|3,657|3,653|3,655.75);Buy to Open;1;50.0;$3,648.75;12/21/20, 8:20 AM;;$311,637.50;0.0;
2521;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,657.00;12/21/20, 8:30 AM;$200.00;$311,050.00;-50.0;
2522;shared_kg_EveryTickOHLC(OHLC|3,655.75|3,670.75|3,651.75|3,668.75);Buy to Open;1;50.0;$3,653.00;12/21/20, 8:30 AM;;$311,837.50;0.0;
2523;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,670.75;12/21/20, 8:40 AM;$950.00;$312,525.00;-50.0;
2524;shared_kg_EveryTickOHLC(OHLC|3,668.75|3,669.75|3,655.75|3,657);Buy to Open;1;50.0;$3,651.75;12/21/20, 8:40 AM;;$312,787.50;0.0;
2525;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,669.75;12/21/20, 8:50 AM;$700.00;$313,562.50;-50.0;
2526;shared_kg_EveryTickOHLC(OHLC|3,657|3,664.5|3,653.75|3,654.25);Buy to Open;1;50.0;$3,655.75;12/21/20, 8:50 AM;;$313,487.50;0.0;
2527;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,664.50;12/21/20, 9:00 AM;$537.50;$314,750.00;-50.0;
2528;shared_kg_EveryTickOHLC(OHLC|3,654.25|3,655.75|3,633|3,639.25);Buy to Open;1;50.0;$3,653.75;12/21/20, 9:00 AM;;$314,025.00;0.0;
2529;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,655.75;12/21/20, 9:10 AM;$1,137.50;$315,312.50;-50.0;
2530;shared_kg_EveryTickOHLC(OHLC|3,639.5|3,643.25|3,627.5|3,630);Buy to Open;1;50.0;$3,633.00;12/21/20, 9:10 AM;;$315,162.50;0.0;
2531;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,643.25;12/21/20, 9:20 AM;$787.50;$315,662.50;-50.0;
2532;shared_kg_EveryTickOHLC(OHLC|3,630|3,637.5|3,625|3,633.25);Buy to Open;1;50.0;$3,627.50;12/21/20, 9:20 AM;;$315,950.00;0.0;
2533;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,637.50;12/21/20, 9:30 AM;$625.00;$315,975.00;-50.0;
2534;shared_kg_EveryTickOHLC(OHLC|3,633|3,638.25|3,627.5|3,637);Buy to Open;1;50.0;$3,625.00;12/21/20, 9:30 AM;;$316,575.00;0.0;
2535;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,638.25;12/21/20, 9:40 AM;$537.50;$316,775.00;-50.0;
2536;shared_kg_EveryTickOHLC(OHLC|3,636.75|3,639.25|3,630.25|3,634.25);Buy to Open;1;50.0;$3,627.50;12/21/20, 9:40 AM;;$317,112.50;0.0;
2537;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,639.25;12/21/20, 9:50 AM;$450.00;$317,137.50;-50.0;
2538;shared_kg_EveryTickOHLC(OHLC|3,634.25|3,641.75|3,631.75|3,638.75);Buy to Open;1;50.0;$3,630.25;12/21/20, 9:50 AM;;$317,562.50;0.0;
2539;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,641.75;12/21/20, 10:00 AM;$500.00;$317,225.00;-50.0;
2540;shared_kg_EveryTickOHLC(OHLC|3,638.75|3,649.5|3,637.5|3,648.5);Buy to Open;1;50.0;$3,631.75;12/21/20, 10:00 AM;;$318,062.50;0.0;
2541;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,649.50;12/21/20, 10:10 AM;$600.00;$318,175.00;-50.0;
2542;shared_kg_EveryTickOHLC(OHLC|3,648.25|3,652|3,645|3,647.25);Buy to Open;1;50.0;$3,637.50;12/21/20, 10:10 AM;;$318,662.50;0.0;
2543;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,652.00;12/21/20, 10:20 AM;$350.00;$318,700.00;-50.0;
2544;shared_kg_EveryTickOHLC(OHLC|3,647|3,653.75|3,646.25|3,651.25);Buy to Open;1;50.0;$3,645.00;12/21/20, 10:20 AM;;$319,012.50;0.0;
2545;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,653.75;12/21/20, 10:30 AM;$375.00;$318,962.50;-50.0;
2546;shared_kg_EveryTickOHLC(OHLC|3,651.25|3,657.25|3,651|3,654.75);Buy to Open;1;50.0;$3,646.25;12/21/20, 10:30 AM;;$319,387.50;0.0;
2547;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,657.25;12/21/20, 10:40 AM;$312.50;$319,287.50;-50.0;
2548;shared_kg_EveryTickOHLC(OHLC|3,655|3,660.5|3,654.75|3,659.25);Buy to Open;1;50.0;$3,651.00;12/21/20, 10:40 AM;;$319,700.00;0.0;
2549;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,660.50;12/21/20, 10:50 AM;$287.50;$319,787.50;-50.0;
2550;shared_kg_EveryTickOHLC(OHLC|3,659.5|3,662.25|3,657|3,658.75);Buy to Open;1;50.0;$3,654.75;12/21/20, 10:50 AM;;$319,987.50;0.0;
2551;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,662.25;12/21/20, 11:00 AM;$262.50;$319,975.00;-50.0;
2552;shared_kg_EveryTickOHLC(OHLC|3,658.5|3,663.75|3,658.5|3,662.5);Buy to Open;1;50.0;$3,657.00;12/21/20, 11:00 AM;;$320,250.00;0.0;
2553;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,663.75;12/21/20, 11:10 AM;$262.50;$320,375.00;-50.0;
2554;shared_kg_EveryTickOHLC(OHLC|3,662.25|3,663.75|3,660.25|3,661.25);Buy to Open;1;50.0;$3,658.50;12/21/20, 11:10 AM;;$320,512.50;0.0;
2555;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,663.75;12/21/20, 11:20 AM;$175.00;$320,125.00;-50.0;
2556;shared_kg_EveryTickOHLC(OHLC|3,661.25|3,671.5|3,661|3,671.5);Buy to Open;1;50.0;$3,660.25;12/21/20, 11:20 AM;;$320,687.50;0.0;
2557;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,671.50;12/21/20, 11:30 AM;$525.00;$320,562.50;-50.0;
2558;shared_kg_EveryTickOHLC(OHLC|3,671.5|3,675|3,671.25|3,674);Buy to Open;1;50.0;$3,661.00;12/21/20, 11:30 AM;;$321,212.50;0.0;
2559;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,675.00;12/21/20, 11:40 AM;$187.50;$321,212.50;-50.0;
2560;shared_kg_EveryTickOHLC(OHLC|3,674|3,676.25|3,670.75|3,675);Buy to Open;1;50.0;$3,671.25;12/21/20, 11:40 AM;;$321,400.00;0.0;
2561;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,676.25;12/21/20, 11:50 AM;$275.00;$321,287.50;-50.0;
2562;shared_kg_EveryTickOHLC(OHLC|3,674.75|3,680.75|3,674.5|3,678.5);Buy to Open;1;50.0;$3,670.75;12/21/20, 11:50 AM;;$321,675.00;0.0;
2563;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,680.75;12/21/20, 12:00 PM;$312.50;$321,700.00;-50.0;
2564;shared_kg_EveryTickOHLC(OHLC|3,678.5|3,681.5|3,676.75|3,680.25);Buy to Open;1;50.0;$3,674.50;12/21/20, 12:00 PM;;$321,987.50;0.0;
2565;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,681.50;12/21/20, 12:10 PM;$237.50;$321,962.50;-50.0;
2566;shared_kg_EveryTickOHLC(OHLC|3,680|3,683.25|3,678.75|3,682);Buy to Open;1;50.0;$3,676.75;12/21/20, 12:10 PM;;$322,225.00;0.0;
2567;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,683.25;12/21/20, 12:20 PM;$225.00;$322,250.00;-50.0;
2568;shared_kg_EveryTickOHLC(OHLC|3,682.25|3,683.5|3,679.25|3,682.75);Buy to Open;1;50.0;$3,678.75;12/21/20, 12:20 PM;;$322,450.00;0.0;
2569;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,683.50;12/21/20, 12:30 PM;$212.50;$322,375.00;-50.0;
2570;shared_kg_EveryTickOHLC(OHLC|3,682.5|3,686.5|3,682.25|3,685);Buy to Open;1;50.0;$3,679.25;12/21/20, 12:30 PM;;$322,662.50;0.0;
2571;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,686.50;12/21/20, 12:40 PM;$212.50;$322,700.00;-50.0;
2572;shared_kg_EveryTickOHLC(OHLC|3,685|3,690.5|3,683.25|3,685.75);Buy to Open;1;50.0;$3,682.25;12/21/20, 12:40 PM;;$322,875.00;0.0;
2573;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.50;12/21/20, 12:50 PM;$362.50;$323,087.50;-50.0;
2574;shared_kg_EveryTickOHLC(OHLC|3,686|3,690|3,685.25|3,686.25);Buy to Open;1;50.0;$3,683.25;12/21/20, 12:50 PM;;$323,237.50;0.0;
2575;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.00;12/21/20, 1:00 PM;$237.50;$323,562.50;-50.0;
2576;shared_kg_EveryTickOHLC(OHLC|3,686.25|3,687|3,683|3,683.5);Buy to Open;1;50.0;$3,685.25;12/21/20, 1:00 PM;;$323,475.00;0.0;
2577;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,687.00;12/21/20, 1:10 PM;$200.00;$323,487.50;-50.0;
2578;shared_kg_EveryTickOHLC(OHLC|3,683.75|3,688|3,682.25|3,686.75);Buy to Open;1;50.0;$3,683.00;12/21/20, 1:10 PM;;$323,675.00;0.0;
2579;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,688.00;12/21/20, 1:20 PM;$287.50;$323,587.50;-50.0;
2580;shared_kg_EveryTickOHLC(OHLC|3,686.5|3,690.5|3,685|3,689.75);Buy to Open;1;50.0;$3,682.25;12/21/20, 1:20 PM;;$323,962.50;0.0;
2581;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.50;12/21/20, 1:30 PM;$275.00;$324,012.50;-50.0;
2582;shared_kg_EveryTickOHLC(OHLC|3,689.75|3,694.25|3,688.75|3,689.5);Buy to Open;1;50.0;$3,685.00;12/21/20, 1:30 PM;;$324,237.50;0.0;
2583;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,694.25;12/21/20, 1:40 PM;$275.00;$324,475.00;-50.0;
2584;shared_kg_EveryTickOHLC(OHLC|3,689.75|3,691|3,687.75|3,689.5);Buy to Open;1;50.0;$3,688.75;12/21/20, 1:40 PM;;$324,512.50;0.0;
2585;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,691.00;12/21/20, 1:50 PM;$162.50;$324,737.50;-50.0;
2586;shared_kg_EveryTickOHLC(OHLC|3,689.25|3,690.5|3,685.5|3,686.5);Buy to Open;1;50.0;$3,687.75;12/21/20, 1:50 PM;;$324,675.00;0.0;
2587;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.50;12/21/20, 2:00 PM;$250.00;$325,125.00;-50.0;
2588;shared_kg_EveryTickOHLC(OHLC|3,686.5|3,689|3,681|3,681.5);Buy to Open;1;50.0;$3,685.50;12/21/20, 2:00 PM;;$324,925.00;0.0;
2589;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,689.00;12/21/20, 2:10 PM;$400.00;$325,300.00;-50.0;
2590;shared_kg_EveryTickOHLC(OHLC|3,681.25|3,684.75|3,679.5|3,681.5);Buy to Open;1;50.0;$3,681.00;12/21/20, 2:10 PM;;$325,325.00;0.0;
2591;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,684.75;12/21/20, 2:20 PM;$262.50;$325,387.50;-50.0;
2592;shared_kg_EveryTickOHLC(OHLC|3,681.5|3,683.75|3,680|3,683.5);Buy to Open;1;50.0;$3,679.50;12/21/20, 2:20 PM;;$325,587.50;0.0;
2593;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,683.75;12/21/20, 2:30 PM;$187.50;$325,650.00;-50.0;
2594;shared_kg_EveryTickOHLC(OHLC|3,683.25|3,683.5|3,675|3,682.5);Buy to Open;1;50.0;$3,680.00;12/21/20, 2:30 PM;;$325,775.00;0.0;
2595;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,683.50;12/21/20, 2:40 PM;$425.00;$326,050.00;-50.0;
2596;shared_kg_EveryTickOHLC(OHLC|3,682.5|3,684|3,676|3,678);Buy to Open;1;50.0;$3,675.00;12/21/20, 2:40 PM;;$326,200.00;0.0;
2597;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,684.00;12/21/20, 2:50 PM;$400.00;$326,125.00;-50.0;
2598;shared_kg_EveryTickOHLC(OHLC|3,678|3,688.25|3,671.75|3,685.5);Buy to Open;1;50.0;$3,676.00;12/21/20, 2:50 PM;;$326,600.00;0.0;
2599;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,688.25;12/21/20, 3:00 PM;$825.00;$326,775.00;-50.0;
2600;shared_kg_EveryTickOHLC(OHLC|3,685.5|3,686.75|3,678.75|3,684.75);Buy to Open;1;50.0;$3,671.75;12/21/20, 3:00 PM;;$327,425.00;0.0;
2601;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,695.00;12/22/20, 7:30 AM;$112.50;$327,525.00;-50.0;
2602;shared_kg_EveryTickOHLC(OHLC|3,693.75|3,694|3,691.75|3,693);Buy to Open;1;50.0;$3,692.75;12/22/20, 7:30 AM;;$327,537.50;0.0;
2603;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,694.00;12/22/20, 7:40 AM;$112.50;$327,612.50;-50.0;
2604;shared_kg_EveryTickOHLC(OHLC|3,693|3,693.5|3,692|3,692.5);Buy to Open;1;50.0;$3,691.75;12/22/20, 7:40 AM;;$327,650.00;0.0;
2605;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,693.50;12/22/20, 7:50 AM;$75.00;$327,850.00;-50.0;
2606;shared_kg_EveryTickOHLC(OHLC|3,692.75|3,692.75|3,689.5|3,689.5);Buy to Open;1;50.0;$3,692.00;12/22/20, 7:50 AM;;$327,725.00;0.0;
2607;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,692.75;12/22/20, 8:00 AM;$162.50;$327,875.00;-50.0;
2608;shared_kg_EveryTickOHLC(OHLC|3,689.75|3,690|3,687.25|3,689.75);Buy to Open;1;50.0;$3,689.50;12/22/20, 8:00 AM;;$327,887.50;0.0;
2609;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.00;12/22/20, 8:10 AM;$137.50;$327,887.50;-50.0;
2610;shared_kg_EveryTickOHLC(OHLC|3,689.75|3,690|3,688.5|3,690);Buy to Open;1;50.0;$3,687.25;12/22/20, 8:10 AM;;$328,025.00;0.0;
2611;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,690.00;12/22/20, 8:20 AM;$75.00;$328,137.50;-50.0;
2612;shared_kg_EveryTickOHLC(OHLC|3,690|3,691|3,686.75|3,687.75);Buy to Open;1;50.0;$3,688.50;12/22/20, 8:20 AM;;$328,100.00;0.0;
2613;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,691.00;12/22/20, 8:30 AM;$212.50;$328,537.50;-50.0;
2614;shared_kg_EveryTickOHLC(OHLC|3,687.75|3,688|3,677.75|3,682.25);Buy to Open;1;50.0;$3,686.75;12/22/20, 8:30 AM;;$328,312.50;0.0;
2615;shared_kg_EveryTickOHLC(SellClose);Sell to Close;-1;-50.0;$3,688.00;12/22/20, 8:40 AM;$512.50;$328,462.50;-50.0;
2616;shared_kg_EveryTickOHLC(OHLC|3,682|3,686.5|3,679|3,685);Buy to Open;1;50.0;$3,677.75;12/22/20, 8:40 AM;;$328,825.00;0.0;
