Date,Open,High,Low,Close/Last,close-1,close-2,close-3,close-4,close-5,5MA,13MA,20MA,26MA,50MA,trend
9/26/2016,2158.54,2158.54,2145.04,2146.1,2164.69,2177.18,2163.12,2139.76,2139.16,2158.17,2149.025385,2159.871429,2163.793077,2168.6938,1
9/23/2016,2173.29,2173.75,2163.97,2164.69,2177.18,2163.12,2139.76,2139.12,2147.26,2156.774,2152.106923,2161.127143,2165.366923,2169.0066,-1
9/22/2016,2170.94,2179.99,2170.94,2177.18,2163.12,2139.76,2139.12,2139.16,2125.77,2151.668,2153.783077,2161.639048,2166.041154,2168.9878,-1
9/21/2016,2144.58,2165.11,2139.57,2163.12,2139.76,2139.12,2139.16,2147.26,2127.02,2145.684,2153.998462,2162.101905,2166.078462,2168.4928,1
9/20/2016,2145.94,2150.8,2139.17,2139.76,2139.12,2139.16,2147.26,2125.77,2159.04,2138.214,2154.593846,2163.031429,2167.118077,2168.2732,1
9/19/2016,2143.99,2153.61,2135.91,2139.12,2139.16,2147.26,2125.77,2127.02,2127.81,2135.666,2156.993077,2165.131905,2168.821538,2168.2212,1
9/16/2016,2146.48,2146.48,2131.2,2139.16,2147.26,2125.77,2127.02,2159.04,2181.3,2139.65,2159.839231,2167.412857,2170.616538,2168.0368,-1
9/15/2016,2125.36,2151.31,2122.36,2147.26,2125.77,2127.02,2159.04,2127.81,2186.16,2137.38,2163.01,2169.463333,2172.013846,2167.2116,-1
9/14/2016,2127.86,2141.33,2119.9,2125.77,2127.02,2159.04,2127.81,2181.3,2186.48,2144.188,2164.685385,2170.934286,2173.34,2166.261,1
9/13/2016,2150.47,2150.47,2120.27,2127.02,2159.04,2127.81,2181.3,2186.16,2179.98,2156.266,2168.277692,2174,2175.46,2165.5166,-1
9/12/2016,2120.86,2163.3,2119.12,2159.04,2127.81,2181.3,2186.16,2186.48,2170.86,2168.158,2172.002308,2176.715714,2177.608077,2165.0352,-1
9/9/2016,2169.08,2169.08,2127.81,2127.81,2181.3,2186.16,2186.48,2179.98,2170.95,2172.346,2174.145385,2177.989524,2177.808462,2163.8316,1
9/8/2016,2182.76,2184.94,2177.49,2181.3,2186.16,2186.48,2179.98,2170.86,2176.12,2180.956,2178.363077,2180.26,2179.192308,2162.6908,-1
9/7/2016,2185.17,2187.87,2179.07,2186.16,2186.48,2179.98,2170.86,2170.95,2180.38,2178.886,2178.560769,2180.280952,2178.258846,2159.7866,-1
9/6/2016,2181.61,2186.57,2175.1,2186.48,2179.98,2170.86,2170.95,2176.12,2169.04,2176.878,2178.626923,2180.03,2177.669615,2156.0742,-1
9/2/2016,2177.49,2184.87,2173.59,2179.98,2170.86,2170.95,2176.12,2180.38,2172.47,2175.658,2178.299231,2179.858095,2177.174231,2153.0928,1
9/1/2016,2171.33,2173.56,2157.09,2170.86,2170.95,2176.12,2180.38,2169.04,2175.44,2173.47,2178.158462,2179.109048,2176.792692,2151.7596,1
8/31/2016,2173.56,2173.79,2161.35,2170.95,2176.12,2180.38,2169.04,2172.47,2186.9,2173.792,2179.642308,2178.772381,2176.628077,2150.0514,-1
8/30/2016,2179.45,2182.27,2170.41,2176.12,2180.38,2169.04,2172.47,2175.44,2182.64,2174.69,2180.65,2178.109524,2176.56,2148.4104,-1
8/29/2016,2170.19,2183.48,2170.19,2180.38,2169.04,2172.47,2175.44,2186.9,2183.87,2176.846,2181.393846,2177.858095,2176.266154,2146.553,-1
8/26/2016,2175.1,2187.94,2160.39,2169.04,2172.47,2175.44,2186.9,2182.64,2187.02,2177.298,2181.017692,2177.535238,2176.060385,2144.3698,1
8/25/2016,2173.29,2179,2169.74,2172.47,2175.44,2186.9,2182.64,2183.87,2182.22,2180.264,2181.994615,2177.58381,2175.911538,2142.5488,-1
8/24/2016,2185.09,2186.66,2171.25,2175.44,2186.9,2182.64,2183.87,2187.02,2178.15,2183.174,2182.642308,2177.303333,2175.932692,2140.5294,-1
8/23/2016,2187.81,2193.42,2186.8,2186.9,2182.64,2183.87,2187.02,2182.22,2190.15,2184.53,2183.213846,2177.005238,2175.484231,2138.527,-1
8/22/2016,2181.58,2185.15,2175.96,2182.64,2183.87,2187.02,2182.22,2178.15,2184.05,2182.78,2181.471538,2176.128095,2174.714615,2136.3702,1
8/19/2016,2184.24,2185,2175.13,2183.87,2187.02,2182.22,2178.15,2190.15,2185.79,2184.282,2180.021538,2175.765714,2173.910769,2134.6388,-1
8/18/2016,2181.9,2187.03,2180.46,2187.02,2182.22,2178.15,2190.15,2184.05,2175.49,2184.318,2177.956923,2174.875238,2173.136923,2133.271,-1
8/17/2016,2177.84,2183.08,2168.5,2182.22,2178.15,2190.15,2184.05,2185.79,2181.74,2184.072,2176.712308,2174.208571,2171.806538,2131.913,1
8/16/2016,2186.24,2186.24,2178.14,2178.15,2190.15,2184.05,2185.79,2175.49,2180.89,2182.726,2176.049231,2173.330476,2170.649615,2130.5112,1
8/15/2016,2186.08,2193.81,2186.08,2190.15,2184.05,2185.79,2175.49,2181.74,2182.87,2183.444,2175.426923,2172.794286,2169.073077,2129.1364,-1
8/12/2016,2183.74,2186.28,2179.42,2184.05,2185.79,2175.49,2181.74,2180.89,2164.25,2181.592,2173.613846,2171.441429,2166.755769,2127.316,1
8/11/2016,2177.97,2188.45,2177.97,2185.79,2175.49,2181.74,2180.89,2182.87,2163.79,2181.356,2172.47,2170.474762,2163.442308,2125.7402,-1
8/10/2016,2182.81,2183.41,2172,2175.49,2181.74,2180.89,2182.87,2164.25,2157.03,2177.048,2171.138462,2168.88619,2160.132308,2124.011,1
8/9/2016,2182.24,2187.66,2178.61,2181.74,2180.89,2182.87,2164.25,2163.79,2170.84,2174.708,2171.103077,2167.774286,2156.788462,2122.4404,-1
8/8/2016,2183.76,2185.44,2177.85,2180.89,2182.87,2164.25,2163.79,2157.03,2173.6,2169.766,2169.828462,2165.651429,2153.758077,2120.7868,1
8/5/2016,2168.79,2182.87,2168.79,2182.87,2164.25,2163.79,2157.03,2170.84,2170.06,2167.756,2169.223077,2163.223333,2150.603077,2118.971,-1
8/4/2016,2163.51,2168.19,2159.07,2164.25,2163.79,2157.03,2170.84,2173.6,2166.58,2165.902,2167.754615,2159.177143,2146.291538,2117.1244,1
8/3/2016,2156.81,2163.79,2152.56,2163.79,2157.03,2170.84,2173.6,2170.06,2169.18,2167.064,2167.957692,2156.104762,2141.362308,2115.3606,1
8/2/2016,2169.94,2170.2,2147.58,2157.03,2170.84,2173.6,2170.06,2166.58,2168.48,2167.622,2167.8,2152.521905,2135.083462,2113.0456,1
8/1/2016,2173.15,2178.29,2166.21,2170.84,2173.6,2170.06,2166.58,2169.18,2175.03,2170.052,2168.316923,2149.946667,2130.482692,2110.9514,-1
7/29/2016,2168.83,2177.09,2163.49,2173.6,2170.06,2166.58,2169.18,2168.48,2165.17,2169.58,2166.900769,2146.519048,2128.270385,2108.3354,-1
7/28/2016,2166.05,2172.85,2159.74,2170.06,2166.58,2169.18,2168.48,2175.03,2173.02,2169.866,2165.25,2141.622381,2124.88,2105.816,1
7/27/2016,2169.81,2174.98,2159.07,2166.58,2169.18,2168.48,2175.03,2165.17,2163.78,2168.888,2162.719231,2135.242857,2121.758462,2103.359,1
7/26/2016,2168.97,2173.54,2160.18,2169.18,2168.48,2175.03,2165.17,2173.02,2166.89,2170.176,2159.897692,2127.33619,2118.553462,2101.3606,-1
7/25/2016,2173.71,2173.71,2161.95,2168.48,2175.03,2165.17,2173.02,2163.78,2161.74,2169.096,2154.414615,2121.061429,2114.785769,2098.9092,1
7/22/2016,2166.47,2175.11,2163.24,2175.03,2165.17,2173.02,2163.78,2166.89,2163.75,2168.778,2149.126154,2118.434762,2111.305385,2096.8218,-1
7/21/2016,2172.91,2174.56,2159.75,2165.17,2173.02,2163.78,2166.89,2161.74,2152.43,2166.12,2142.473846,2114.169048,2107.323462,2094.6104,1
7/20/2016,2166.1,2175.63,2164.89,2173.02,2163.78,2166.89,2161.74,2163.75,2152.14,2165.836,2137.687692,2110.537143,2103.867692,2092.9948,-1
7/19/2016,2163.79,2164.63,2159.01,2163.78,2166.89,2161.74,2163.75,2152.43,2137.16,2161.718,2131.983077,2106.262381,2100.253846,2090.7082,1
7/18/2016,2162.04,2168.35,2159.63,2166.89,2161.74,2163.75,2152.43,2152.14,2129.9,2159.39,2124.828462,2101.854762,2097.649615,2088.5754,-1
7/15/2016,2165.13,2169.05,2155.79,2161.74,2163.75,2152.43,2152.14,2137.16,2097.9,2153.444,2114.766923,2097.621429,2095.672308,2086.2502,1
7/14/2016,2157.88,2168.99,2157.88,2163.75,2152.43,2152.14,2137.16,2129.9,2099.73,2147.076,2102.366923,2093.324286,2094.033077,2084.0378,-1
7/13/2016,2153.81,2156.45,2146.21,2152.43,2152.14,2137.16,2129.9,2097.9,2088.55,2133.906,2092.648462,2089.113333,2092.047692,2082.0302,1
7/12/2016,2139.5,2155.4,2139.5,2152.14,2137.16,2129.9,2097.9,2099.73,2102.95,2123.366,2089.64,2085.619524,2090.393077,2080.6102,1
7/11/2016,2131.72,2143.16,2131.72,2137.16,2129.9,2097.9,2099.73,2088.55,2098.86,2110.648,2084.51,2082.949524,2088.354231,2078.8734,1
7/8/2016,2106.97,2131.71,2106.97,2129.9,2097.9,2099.73,2088.55,2102.95,2070.77,2103.806,2080.797692,2081.917143,2087.127308,2077.6464,1
7/7/2016,2100.42,2109.08,2089.39,2097.9,2099.73,2088.55,2102.95,2098.86,2036.09,2097.598,2077.209231,2081.40381,2085.951538,2076.9514,1
7/6/2016,2084.43,2100.72,2074.02,2099.73,2088.55,2102.95,2098.86,2070.77,2000.54,2092.172,2075.156923,2082.081429,2085.915385,2076.8274,-1
7/5/2016,2095.05,2095.05,2080.86,2088.55,2102.95,2098.86,2070.77,2036.09,2037.41,2079.444,2073.484615,2082.542381,2085.889615,2076.5886,1
